date,code,name,city,county,fips,zipcode,x,y,confirmed_cases,new_confirmed_cases,active_cases,released_cases,resolved_cases,deaths,new_deaths
5/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,0,0,,0,,0,0
5/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,34,34,,0,,0,0
5/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,51,17,,0,,0,0
5/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,53,2,,0,,0,0
5/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,189,136,,0,,0,0
5/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,199,10,,0,,0,0
5/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,199,0,,1,,0,0
5/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,199,0,,1,,0,0
5/25/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,199,0,,2,,0,0
5/26/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,217,18,,3,,0,0
5/27/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,272,55,,3,,0,0
5/28/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,280,8,,3,,0,0
5/29/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,600,320,,3,,0,0
5/30/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,600,0,,3,,0,0
5/31/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,600,0,,4,,0,0
6/1/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,601,1,,5,,0,0
6/2/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,839,238,,6,,0,0
6/3/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,840,1,,9,,0,0
6/4/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,840,0,,10,,0,0
6/5/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,842,2,,10,,0,0
6/6/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,844,2,,10,,0,0
6/7/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,844,0,,10,,0,0
6/8/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,846,2,,10,,0,0
6/9/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,895,49,,10,,0,0
6/10/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,897,2,,10,,0,0
6/11/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,906,9,,11,,0,0
6/12/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,914,8,,11,,0,0
6/13/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,916,2,,11,,0,0
6/14/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,916,0,,12,,0,0
6/15/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,918,2,,12,,0,0
6/16/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,920,2,,12,,0,0
6/17/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,923,3,,13,,0,0
6/18/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,927,4,,15,,0,0
6/19/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,928,1,,15,,0,0
6/20/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,928,0,,16,,1,1
6/21/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,928,0,,16,,1,0
6/22/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,931,3,,16,,1,0
6/23/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,932,1,,16,,2,1
6/24/20,ASP,Avenal State Prison,Avenal,Kings,31,93204,-120.1211248,35.9705041,933,1,,17,,2,0
