Facility.ID,Jurisdiction,State,Name,Date,Residents.Confirmed,Staff.Confirmed,Residents.Deaths,Staff.Deaths,Residents.Recovered,Staff.Recovered,Residents.Tadmin,Residents.Negative,Residents.Pending,Residents.Quarantine,Staff.Quarantine,Residents.Active,Population.Feb20,Residents.Population,Residents.Tested,Address,Zipcode,City,County,Latitude,Longitude,county.fips,HIFLD.ID,jurisdiction_scraper,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Capacity,Source.Population.Feb20,Source.Capacity,ICE.Field.Office
83,state,California,AVENAL STATE PRISON,4/28/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,4/29/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,4/30/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/1/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/2/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/3/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/4/20,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/5/20,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/6/20,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/7/20,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
83,state,California,AVENAL STATE PRISON,5/8/20,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,4204,NA,NA,1 KINGS WAY,93204,AVENAL,KINGS,35.97394934,-120.1231018,6031,10000826,NA,Prison,Med/Min,Adult,Male,FALSE,NA,2920,Public Records,HIFLD,NA
